Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AM
01/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/2021,64.83708214182779,68.59348365607198,56.274370929141504,59.631145970319544,73.18985476077344,56.32585229135112,74.91705525266387,63.98553767841063,71.20551923073215,85.96661651352917,48.44407838276239,82.24920475368864,64.15834606514656,23.992506381874293,67.41936852027712,77.4941975324041,73.74338388026095,33.47179113938904,33.38245851613975,29.632146426279405,50.752230099645345,71.62360216499991,42.98845647469899,56.676983270539026,64.56141768333738
01/27/2021,66.9804439566988,67.37206032867584,50.36070017503291,59.64923897619546,73.17135934413001,57.516953409129016,75.28831848901815,55.51919851322521,70.9567717835362,85.86898936833958,48.4441351401857,80.11424632835521,61.808029531477345,29.19439530508518,58.1555198462054,80.50247914649199,68.42569042590165,34.828187676808085,33.26681092011668,37.643664667003236,46.82588769828764,61.60826877018535,44.61362163446335,55.760807076757665,55.506627045468775
01/28/2021,77.59957781519356,74.41569918554053,53.83355479087775,58.24751137702024,61.063242680699275,55.813049879295804,61.11912551840977,45.94732374898502,65.4049880728839,81.88124035842634,23.698952641194623,62.671209682951606,41.953810804119456,24.921830472000096,52.654219968019184,69.15757906430566,56.23791831429498,29.092758001061597,18.809902973883055,35.31568343065541,32.63569528632887,46.13644682189954,46.25519432724407,61.58390866183785,46.12245121735357
01/29/2021,77.59361862129202,59.54811326883422,45.63852900575125,56.83092354366987,59.456987675212936,47.59207344341043,59.25573712869517,47.02082614317136,53.031667679178874,82.15484773510195,22.771371666870735,56.42010285876352,36.193770635039954,29.07370831184187,53.84616321384782,70.20690987411703,60.79071282292874,34.337442608342215,28.980047238131036,37.92794616381692,28.965510132808177,46.928323932548594,42.31113924355775,61.47012845084541,45.901614848998165
02/01/2021,64.3355418835778,49.876120344396575,45.72025290243953,52.08622202137995,53.521409182335546,44.44443221197018,53.41915649285885,37.27265650379424,35.4741343918686,79.50028600043086,21.495381691163118,53.79563741992516,33.40861213468796,22.646564410353022,47.936109959739014,55.62839718944717,51.46537461593001,28.076084774129612,25.996662137365774,31.603449340661996,29.247935250433144,41.85434982306564,33.128279377117835,55.17343766609414,50.45044759520221
02/02/2021,72.79834106659716,57.284024807607594,44.094598048021524,68.1078740225983,65.42189560205134,53.39640806055238,65.2182777119088,39.092021436454694,55.200611682049114,65.42880973770795,23.287268226259272,63.08952189203332,29.995288782654555,33.15551772844158,43.00290633933567,56.139739531546,48.993727204590826,34.380839322592124,29.99712493230932,34.519245222147674,19.873769134660577,36.51298732010108,47.29592543748336,65.40900982725269,47.82607365614304
02/03/2021,76.61322911149617,58.57580472383819,51.04695613498639,69.57741725481662,70.15863836196041,60.59922563104595,70.18202177590356,36.16731665701838,54.325829737577685,67.31260965826854,31.86136330865571,65.86260189586707,35.56141346420556,42.79123214577201,41.59822993311854,55.68930621453929,46.18338546220431,45.39378836279707,30.942743028392798,41.102481850413646,26.207493652013156,37.79987476518472,57.317608409854294,75.84394144743224,38.42109806544829
02/04/2021,77.62120404382522,54.35091294536611,49.98176577953642,60.714276158121145,76.83732645669153,59.965474727561364,77.07150979666025,41.24846034135626,50.04946084764701,61.91769310630955,32.81899798311525,57.24200055127137,39.27538653466279,40.94308559594623,46.58471481003692,54.672373581414746,50.11045219575822,42.57283157361531,30.769916224675143,37.25578866182452,26.93011943048306,40.232538922953175,55.2865693569536,74.39884409100135,51.66351052120054
