Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AM
01/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/2021,1.640597479846776e-07,6.623672781729878e-08,1.6391063085472657e-07,4.492759800141792e-08,1.925717972807095e-07,1.76691053334989e-07,2.5693237245397127e-07,9.503064783678166e-07,1.6754800767625203e-07,4.750408750922575e-06,-1.9293325785045224e-07,6.333904727727893e-06,3.493635570897859e-07,-3.996250836980093e-07,4.929591779596651e-07,6.103648842462475e-07,1.991497677947647e-06,-1.0138575154968959e-06,-4.199958884457072e-07,-1.7566412587003027e-06,2.3568074152852442e-08,6.969718299816731e-07,-9.089820412430585e-07,3.1002765927290434e-07,1.925125039800327e-06
01/27/2021,1.3468296744255034e-07,9.425807537234298e-08,1.3875217747147412e-08,5.65745316458651e-08,3.066920057144108e-07,2.1106085446597002e-07,3.8565154066508184e-07,3.4653981702578496e-07,2.9008404355661115e-07,4.226012724341854e-06,-1.9863827215962798e-07,7.778366900724762e-06,4.1736314753810977e-07,-6.066686423954636e-07,2.2723104862332108e-07,5.397161273246371e-07,2.5162375158695932e-06,-1.6203154377868364e-06,-6.744878553411119e-07,-1.584768613724968e-06,-1.3526799414981326e-07,3.887997837190473e-07,-8.198766695990963e-07,4.261615608588715e-07,6.091513399598312e-07
01/28/2021,1.3924440573033718e-07,8.670377955840647e-08,6.47500115046049e-08,3.220401487909922e-08,6.757259224219844e-08,9.48749291471334e-08,1.0012363341308019e-07,-1.7504975487559488e-07,1.745068113660713e-07,3.577139547406076e-06,-1.5332186252958444e-06,2.068979829854922e-06,-1.5934076508999388e-07,-6.027411300517005e-07,5.1181756441627404e-08,3.5450812192693026e-07,5.584018445252088e-07,-1.2382972622710305e-06,-7.762918779280263e-07,-1.1803312780466735e-06,-3.971405787715703e-07,-2.2228877749998772e-07,-3.773077611457728e-07,5.225164053328721e-07,-3.067773215048849e-07
01/29/2021,1.9252862386725284e-07,3.3044201582208026e-08,-9.617150402395561e-08,3.7888040149121574e-08,8.040215354280462e-08,-3.685700041109487e-08,1.1969174770403326e-07,-1.6309080713487282e-07,3.0026326294830065e-08,4.891229615158769e-06,-2.6585001920150254e-06,1.1113019981740567e-06,-3.080514571848511e-07,-6.603859037735606e-07,9.799354183452698e-08,6.12794654663032e-07,1.2786584722458065e-06,-1.0586546529421219e-06,-7.418728161591895e-07,-1.3112402124014185e-06,-5.596788294123207e-07,-2.745155734290988e-07,-8.419615538701234e-07,5.394172655179772e-07,-3.633268817608064e-07
02/01/2021,1.3219745165929272e-07,-3.839103639326842e-10,-7.960427081445735e-08,8.598480746833259e-09,3.6885893158749683e-08,-1.136349594715781e-07,4.8948383707805396e-08,-4.391806833310392e-07,-9.362633671532563e-08,2.972548252463936e-06,-2.103845695654604e-06,4.941606115110242e-07,-3.649098420876912e-07,-4.791895820177856e-07,-3.500501827551537e-08,8.578971004423335e-08,1.575957026377908e-07,-1.391685855731027e-06,-9.135818469995472e-07,-1.8213732200425061e-06,-6.726462376747487e-07,-4.7603104819394206e-07,-1.7731372091663825e-06,2.4490992091395195e-07,2.893265308512607e-08
